Name	Set	ImageFile	Type	Scare_Threshold	Rarity	CardText
Mr. Hyde III	Premiere	mr_hyde_iii	Character	1	Rare	During an opponent’s turn, you may send Mr. Hyde III into your hand to ignore a card that discard card(s) from your hand.
Mrs. Claus	ChristmasTown	mrs_claus	Character	0	Uncommon	HEX: Once during your turn, you may discard 1 Elf from Mrs. Claus’ Locale, and then, if the Elf was discarded from the Bakery, Draw 1 Card.
Mummy Boy	Premiere	mummy_boy	Character	1	Common	When the Mummy Boy is played, if the Corpse Kid is at his Locale, you may Move 2 Cards.
My Fantasies	Premiere	my_fantasies	Surprises	0	Common	Search 6, Jack OR If Jack is in your Halloweentown, Search 6, 1 Creation
Mystic Cauldron	Premiere	mystic_cauldron	Surprises	0	Rare	Peek at an opponent’s hand. OR If the Big Witch or Little Witch are in your Halloweentown, peek at the top 6 cards in your Main Deck and return them in any order.
Nelly the Elf	ChristmasTown	nelly	Character	0	Uncommon	When Nelly is played, you may immediately discard your entire hand, and then Draw 1 Card for every additional Elf at her Locale.
Night of Festivities	ChristmasTown	night_of_festivities	Surprises	1	Rare	Search 3, 1 or 2 Characters OR If an opponent’s Town Square has more than 4 Characters in it, flip that Town Square face down (out of play) until the End Phase.
Nightmare Before Christmas	Premiere	nightmare_before_christmas	Surprises	0	Promo Card	Every player draws 1 card for each of the following Characters in their Halloweentown: Jack, Sally, Mayor, Oogie Boogie, Dr. Finklestein
Nothing Underneath	ChristmasTown	nothing_underneath	Surprises	1	Rare	Discard one Surprise that is Stacked on a card in your Halloweentown. OR Stack this card on one of your Creations, and then, if an opponent’s Monster under the Bed is not at the Scary Bed, return that Monster to its owner’s hand.
Nutcracker	Premiere	nutcracker	Creations	3	Common	If Behemoth is in your Halloweentown when you play the Nutcracker, you may immediately discard any number of cards from your hand (all at once) and then draw new cards to replace those discarded.
Old Sparkly	Tournament	old_sparkly	Creations	5	Fixed	-4 Cost if there are 6 Active Locales in your Halloweentown (including your Starting Locale, which is always Active).
Oogie Boogie - Eight Ball	Premiere	oogie3	Character	6	Ultra-Rare	When Oogie, Eight Ball, is played, the player(s) with the least number of Active Locales must discard half of the cards in their hands (round up).
Oogie Boogie - Gamblin' Boogie Man	Premiere	oogie2	Character	5	Rare	When Oogie, Gamblin’ Boogie Man, is played, you must discard your entire hand and then draw an equal number of new cards.
Oogie Boogie - Meanest Guy Around	Premiere	oogie1	Character	4	Common	-1 Cost at Oogie’s Lair. Must spend 2 Movement to Move Oogie out of his Lair.
Oogie Boogie - Voracious Villain	ChristmasTown	oogie4	Character	3	Rare	HEX: Once during your turn, you may discard another Character at his Locale to Add a number of Pumpkin Points equal to that Character’s Scare Number (max of 2).
Oogie's Dice	Premiere	oogies_dice	Creations	4	Uncommon	When playing this Creation, if Oogie is in his Lair in your Halloweentown, you may immediately move him (for free) to any other Locale in your Halloweentown.
Oogie's Lair	Premiere	oogies_lair	Locale	0*	Common	STARTING HAND: 5 Cards, FUNCTION: Draw 2 Cards, FUNCTION: Add 3p, FUNCTION: Move 1 Card
Oogie's turn to boogie	Premiere	oogies_turn_to_boogie	Surprises	0	Uncommon	Search 3, Oogie, Sandy Claws OR If Oogie and Sandy Claws are in Oogie’s Lair in your Halloweentown, draw until you have 7 cards in your hand.
Organ Donor	Premiere	organ_donor	Surprises	1	Uncommon	Each player, starting with the Pumpkin King and continuing clockwise around the table, may choose to discard Finklestein (or 3 other Characters) from his own Halloweentown, and then play 1 Creation from hand for free.
Parasols	ChristmasTown	parasols	Surprises	2	Rare	Place this Surprise on the table as part of your Halloweentown. Each of your opponents can only affect your Characters in play (or the cards in your hand) one time during each of his Player Turns. The card text on Parasols is inactive on Days 10 through 12.
Pauly the Elf	ChristmasTown	pauly	Character	0	Common	If Pauly is played to the Hangar, you may immediately Move 2 Cards.
Penguin Rally	ChristmasTown	penguin_rally	Surprises	1	Rare	Search 6, Penguins OR If Weary Willy and Languid Larry are both in your Christmas Town, every player must immediately draw cards (or discard cards) until they have exactly 4 cards in their hands.
Public Transportation	Premiere	public_transportation	Surprises	0	Common	Each player targets a Character belonging to the player on his left and moves the Character to an adjacent Locale. Characters at the same Locale as the Mayor are not affected by this Surprise.
Pull Yourself Together	Premiere	pull_yourself_together	Surprises	1	Common	Search 6, Sally OR During an opponent’s turn, play this card to ignore a card that affects one of your Characters in play. You may play this card for free if your Sally is in play.
Pumpkin Patch	Premiere	pumpkin_patch	Locale	6	Rare	FUNCTION: Place 1 Character (who is at this Locale) face down beneath this Locale to Add 6p
Putrid Playmates	Premiere	putrid_playmates	Surprises	1	Rare	Search 6, Corpse Kid, Mummy Boy OR If Corpse Kid and Mummy Boy are at the same Locale in your Halloweentown, Add 
Ravenous Fiend	ChristmasTown	ravenous_fiend	Surprises	0	Rare	Search 6, Eager Anaconda OR Discard your Eager Anaconda from play, and then discard an opponent’s Creation from play.
Reaper	Premiere	reaper	Character	3	Rare	When the Reaper is played, every player must discard 1 Character from his own hand or from his own Halloweentown.
Renowned Talents	ChristmasTown	renowned_talents	Surprises	1	Uncommon	Search 6, Jack OR If Jack is in your Halloweentown, move an opponent’s Character to an adjacent Locale. If your Jack has the Alias “Master of Fright,” Draw 2 Cards.
Road Kill	Premiere	road_kill	Creations	3	Common	If the Decomposing Guy is in your Halloweentown when you play Road Kill, Draw 2 Cards.
Ruptured Berry	ChristmasTown	ruptured_berry	Creations	1	Uncommon	If your Jack is at his House when this Creation is played, you may Move 2 Cards. This Creation does not count when determining if you have “the most Creations.” “Making Christmas” cannot lower the Cost of this Creation.
Sackful of Mischief	Premiere	sackful_of_mischief	Surprises	1	Ultra-Rare	Allow the opponent to your right to cut your Main Deck. Afterwards, flip the top card of the deck face up. If the card is a Creation that is not yet in your Halloweentown, you may play it for free. Otherwise, discard it.
Safety in Numbers	ChristmasTown	safety_in_numbers	Surprises	1	Common	Place this card on the table as part of your Halloweentown. During an opponent’s turn, if your Lock, Shock, or Barrel are about to be discarded from play, you may return him or her to your hand instead.
Sally - Restless Spirit	ChristmasTown	sally3	Character	2	Ultra-Rare	HEX: Once during your turn, you may move Sally to an adjacent Locale.
Sally - Shy Creature	Premiere	sally1	Character	2	Common	During your turn, if Sally is at the same Locale as Jack, you may discard her from play to draw 3 cards.
Sally - Skilled Alchemist	Premiere	sally2	Character	2	Ultra-Rare	HEX: Once during your turn, if Sally is at her Room, you may discard 1 card from your hand to Draw 1 Card.
Sally's Arm	ChristmasTown	sallys_arm	Character	1	Uncommon	-1 Cost at Sally’s Room.  Sally’s Arm satisfies any card text that requires Sally to be in play at a particular Locale.
Sally's Leg	ChristmasTown	sallys_leg	Character	1	Uncommon	-1 Cost at Sally’s Room.  Sally’s Leg satisfies any card text that requires Sally to be in play at a particular Locale.
Sally's Room	Premiere	sallys_room	Locale	2	Common	FUNCTION: Add 2p and Move 3 Cards
Same Routine	ChristmasTown	same_routine	Surprises	0	Promo Card	During the Start Phase, play this card to perform the Pumpkin King’s chosen activity one additional time (paying for it separately each time). You cannot play this card if you are the Pumpkin King.
Sandy Claws	Premiere	sandy_claws	Character	0	Uncommon	Must be played to the Tree Circle or Tree House. Can only move if Lock, Shock, and Barrel are in play.  Cannot be discarded from play.
Sandy Claws Outfit	Premiere	sandy_claws_outfit	Creations	6	Common	-3 Cost if Jack and Sally are at the same Locale in your Halloweentown.
Santa Claus	ChristmasTown	santa_claus	Character	0	Common	HEX: Once during your turn, you may Search 6, Elves. Cannot be played if your Sandy Claws is in play (and vice versa).
Santa's House	ChristmasTown	santas_house	Locale	1	Uncommon	BONUS: While Santa is here, Santa’s Workshop and each of your Christmas Town Factories require 1 less Christmas Character to become Active.
Santa's Workshop	ChristmasTown	santas_workshop	Locale	5	Ultra-Rare	BONUS: At the start of the End Phase, if you have no cards left in your hand, Draw 4 Cards.
Sax Player	Premiere	sax_player	Character	1	Common	When the Sax Player is played, if another Character at his Locale has the word “Player” in his name, Draw 1 Card.
Say It Twice	Premiere	say_it_twice	Surprises	2	Rare	Search 6, Big Witch, Little Witch OR If the Big Witch and Little Witch are at one of your active Locales, you may perform one of the Functions at that Locale as an extra Function this turn.
Scared Stiff	Premiere	scared_stiff	Surprises	0	Rare	Search 3, Jack OR If your Jack in play has the Alias “Master of Fright,” discard an opponent’s Character with a Scare Number of 1.
Scary Bed	Premiere	scary_bed	Locale	3	Ultra-Rare	FUNCTION: Place up to 2 cards from your hand face down beneath the Scary Bed, and then Add 2p for each card you just placed.
Scary Staircase	ChristmasTown	scary_staircase	Locale	2	Uncommon	FUNCTION: Discard up to 2 cards from your hand, and then draw 3 cards for every card you just discarded.
Scary Teddy	Premiere	scary_teddy	Creations	4	Uncommon	This Creation is -1 Cost for each of the following Characters in your Halloweentown: Corpse Dad, Devil, and Wolfman
Scorpion Surprise	Premiere	scorpion_surprise	Creations	4	Uncommon	This Creation is -1 Cost for each Character in your Halloweentown with the word “Hyde” in his name.
Search Lights	Premiere	search_lights	Surprises	3	Uncommon	Search 6, 1 Card OR Place this card on the table as part of your Halloweentown. While this card is in play, you may play the card “Fire!” at -2 Cost.
Series of Experiments	ChristmasTown	series_of_experiments	Surprises	1	Uncommon	Search 5, Jack, Finklestein OR If Jack and Finklestein are both in your Halloweentown, Search 6, Creations with a Scare Number of 1
Sewing Hut	ChristmasTown	sewing_hut	Locale	3	Uncommon	FUNCTION: Add 1p for every Active Locale in your Halloweentown (not including this Locale).
Shadow on the Moon	Premiere	shadow_on_the_moon	Surprises	-1	Ultra-Rare	Cost = 2. Stack this Surprise on an opponent’s Character. You may play this card for free if your Oogie is in play.
Shock - Bossy Trick-or-Treater	Tournament	shock2	Character	1	Fixed	HEX: Once during your turn, after Shock moves to a Locale, you may discard 1 card from your hand to Add 1p
Shock - Little Hag	Premiere	shock1	Character	1	Common	Whenever Shock leaves the same Locale as Lock and/or Barrel, you may move them to her new Locale for free.
Shock - Mad Schemer	ChristmasTown	shock3	Character	1	Uncommon	May travel between Holiday Towns. During your turn, you may discard 1 card from your hand to Search 3, Mission of Menace
Siamese Shadow	ChristmasTown	siamese_shadow	Character	2	Common	-1 Cost at the Graveyard.
Skating Pond	ChristmasTown	skating_pond	Locale	2	Common	BONUS: Whenever you perform a Function, you may discard 1 card from your hand to Move 2 different Characters once each.
Skeletal Reindeer	Premiere	skeletal_reindeer	Creations	6	Uncommon	-2 Cost if Dr. Finkelstein is in your Laboratory. -1 Cost if Igor is in your Laboratory.  These effects are cumulative.
Snake & Spider Stew	Tournament	snake_and_spider	Creations	6	Fixed	-5 Cost if Oogie and Sandy are in Oogie’s Lair in your Halloweentown.
Snow Fort	ChristmasTown	snow_fort	Locale	4	Common	BONUS: While the Snow Fort is Active, whenever you play an Elf here, each opponent must discard 1 Elf of his choice from his own Christmas Town.
Snowmobile	ChristmasTown	snowmobile	Surprises	1	Common	Search 6, Jack OR Move Jack (and up to 3 other Characters at his Locale) to any one other Locale in your Halloweentown.
Someplace New	ChristmasTown	someplace_new	Surprises	1	Rare	Move 2 Cards OR Examine the top two cards of your Locale Deck, and then place one (or both) of those Locales at the bottom of your Locale Deck.
Something's up with Jack	Premiere	somethings_up_with_jack	Surprises	0	Uncommon	All players must immediately choose half of the cards in their hands (round up) and discard them. If Jack is in any players’ Halloweentown, those players also Draw 1 Card.
Soprano Ghost	ChristmasTown	soprano_ghost	Character	1	Common	When the Soprano Ghost is played, if another Character at her Locale has the word “Ghost” in his or her name, Search Discard Pile, 1 Character
Sound of Rollin' Dice	Premiere	sound_of_rollin_dice	Surprises	1	Common	Choose a Character belonging to an opponent and discard the top card from that opponent’s deck. If the Scare Number on the discarded card is higher than the Character’s Scare Number, discard the Character as well.
Sound the Alarms!	ChristmasTown	sound_the_alarms	Surprises	0	Common	Search 3, Mayor, Mummy Boy OR During an opponent’s turn, play this card to ignore a card that affects one of your Creations, Locales, or Surprises in play.
Spider Flake	ChristmasTown	spider_flake	Creations	1	Uncommon	If your Jack is at his House when this Creation is played, Add 1p. This Creation does not count when determining if you have “the most Creations.” “Making Christmas” cannot lower the Cost of this Creation.
Subordinate Claus	ChristmasTown	subordinate_claus	Surprises	0	Common	Move an Elf from one of your Christmas Town Locales to an adjacent Christmas Town Locale, and then, if Santa Claus or Mrs. Claus are at the new Locale, Draw 2 Cards.
Suzy the Elf	ChristmasTown	suzy	Character	0	Common	When Suzy is played, Draw 2 Cards if your hand is empty.
Takeoff Ramp	Premiere	takeoff_ramp	Creations	5	Common	If the Mayor is in your Town Square, this Creation is -1 Cost for every other Character at his Locale (not including the Mayor himself). Minimum Cost to play Takeoff Ramp = 1.
Tenor Ghost	ChristmasTown	tenor_ghost	Character	1	Common	When the Tenor Ghost is played, if another Character at his Locale has the word “Ghost” in his or her name, Search Discard Pile, 1 Creation
That's our Job	Premiere	thats_our_job	Surprises	2	Uncommon	Search 5, The “Corpse” Family OR If Corpse Dad and Corpse Mom are at the same Locale in your Halloweentown, Search Discard Pile, 1 Card
The Bakery	ChristmasTown	the_bakery	Locale	1	Common	BONUS: Whenever you perform a Search, add 1 to the number of cards being searched.
The Bass	ChristmasTown	the_bass	Character	1	Rare	When you play The Bass, you may Search 6, The “Players” The Bass is not a “Player.”
The best I can	Premiere	the_best_i_can	Surprises	1	Uncommon	Search 6, Oogie OR Stack this card on your Oogie and, if Oogie is in his Lair, discard an opponent’s Character with a Scare Number of 1 or less.
The Courtyard	ChristmasTown	the_courtyard	Locale	6	Rare	FUNCTION: Draw 2 Cards and Add 3p
The Crypt	Premiere	the_crypt	Locale	3	Uncommon	FUNCTION: Draw 4 Cards
The Dark Wood	ChristmasTown	the_dark_wood	Locale	3	Common	FUNCTION: Draw 3 Cards OR Add 3p OR Move 3 Cards
The Fountain	Premiere	the_fountain	Locale	4	Rare	FUNCTION: Search 3, 1 Character and Add 3p
The Graveyard	Premiere	the_graveyard	Locale	2	Uncommon	FUNCTION: Search Discard Pile, 1 Card
The Hangar	ChristmasTown	the_hangar	Locale	3	Common	BONUS: Whenever you play a Character to an empty Locale, Draw 1 Card.
The Laboratory	Premiere	the_laboratory	Locale	3	Uncommon	FUNCTION: Search 5, 1 Creation and Add 3p
The Mayor - Elected Official	Premiere	mayor1	Character	2	Common	While the Mayor is in Town Square, you may spend 1 Movement to move any number of your adjacent Characters there.
The Mayor - Excitable Politician	ChristmasTown	mayor3	Character	2	Common	During your turn, if the Mayor is at the Mayor-mobile, you may return him to your hand to Draw 2 Cards.
The Mayor - Lugubrious Leader	Premiere	mayor2	Character	2	Rare	Whenever a Character in your Halloweentown (other than the Mayor himself) is discarded, Draw 1 Card.
The Observatory	ChristmasTown	the_observatory	Locale	2	Common	FUNCTION: Draw 3 Cards and Move 1 Card
The Rat	ChristmasTown	the_rat	Character	1	Rare	During an opponent’s turn, you may discard The Rat from play to ignore a card that affects another Character at his Locale.
The Tree House	Premiere	the_tree_house	Locale	3	Uncommon	FUNCTION: Draw 3 Cards and Add 1p
The Well	Premiere	the_well	Locale	1	Common	FUNCTION: Move 6 Cards
This is Halloween!	Premiere	this_is_halloween	Surprises	1	Rare	All Characters are -1 Cost. All Creations are +1 Cost. (Minimum Cost per Character = 1) Place this card in the center of the table .No other copies can be played while this is on the table. Discard during the End Phase.
Three of a Kind	Premiere	three_of_a_kind	Surprises	2	Common	Search 6, Lock, Shock, Barrel OR If Lock, Shock, and Barrel are at the same Locale in your Halloweentown, force one opponent with 4 or more cards in his hand to discard all but 3 cards of his choice.  Draw 1 Card for each card discarded by your opponent.
Throw me a bone	Premiere	throw_me_a_bone	Surprises	1	Common	Search 6, Igor OR If Finklestein and Igor are in your Halloweentown, Search Discard Pile, 1 Creation
Timmy the Elf	ChristmasTown	timmy	Character	0	Rare	If Timmy is played to the Toy Factory, you may immediately Search 6, 1 Creation.
Town Center	ChristmasTown	town_center	Locale	4	Uncommon	BONUS: Whenever you perform a Function, Draw 1 Card.
Town Hall	Premiere	town_hall	Locale	3	Uncommon	FUNCTION: Draw 1 Card and Add 3p
Town Meeting!	Premiere	town_meeting	Surprises	1	Uncommon	Move 1 of your Characters to your Town Hall or Town Square. OR If the Mayor is at your Mayor-mobile, move any number of your Characters to either your Town Hall or Town Square.
Town Square	Premiere	town_square	Locale	4	Common	FUNCTION: Add 4p
Toy Factory	ChristmasTown	toy_factory	Locale	6	Rare	BONUS: All of your Creations are -1 Cost. (Minimum Cost per Creation = 1)
Tree Circle	Premiere	tree_circle	Locale	3	Uncommon	FUNCTION: Draw 2 Cards and Add 2p
Trick or Treat!	ChristmasTown	trick_or_treat	Surprises	1	Rare	If Lock, Shock, and Barrel are in your Christmas Town, discard an opponent’s Christmas Town Gates. Regardless of whether or not you discarded Gates, you may then discard 1 Character in that opponent’s Christmas Town. Add 2p if the discarded Character is Santa.
Tub of Terror	Premiere	tub_of_terror	Surprises	1	Rare	Search 4, Lock, Shock, Barrel OR If Lock, Shock, and Barrel are at the same Locale in your Halloweentown, move them to any one other Locale in your Halloweentown.
Twilight Sun	Premiere	twilight_sun	Surprises	2	Rare	Draw 2 Cards OR Return any player’s Vampire to its owner’s hand, and then Draw 3 Cards.
Undead Duck	Premiere	undead_duck	Creations	4	Rare	When this Creation is played, Draw 1 Card for every Vampire in your Halloweentown.
Undersea Gal	Premiere	undersea_gal	Character	2	Uncommon	During your turn, you may discard the Undersea Gal from play and then Search Discard Pile, 1 Card
Uninvited Guest	ChristmasTown	uninvited_guest	Surprises	0	Rare	Play this card instead of performing a Function at one of your Active Locales. Discard a number of cards from your hand equal to the number of Active Locales controlled by one opponent, and then perform a Function at one of that opponent’s Active Locales.
Vampire Baron	Premiere	vampire_baron	Character	*	Uncommon	* Cost = 3, * Scare Number = Number of Vampires in your Halloweentown
Vampire Count	Premiere	vampire_count	Character	*	Uncommon	* Cost = 3, * Scare Number = Number of Vampires in your Halloweentown
Vampire Lord	Premiere	vampire_lord	Character	*	Uncommon	* Cost = 3, * Scare Number = Number of Vampires in your Halloweentown
Vampire Prince	Premiere	vampire_prince	Character	*	Rare	* Cost = 3, * Scare Number = Number of Vampires in your Halloweentown
We Bagged Him!	ChristmasTown	we_bagged_him	Surprises	6	Rare	Stack this card on your Jumbo Treat Bag. Your Jumbo Treat Bag cannot be affected by an opponent, and cannot be discarded from play. This Surprise is -1 Cost for every Christmas Character in your Halloweentown.
We Did It!	ChristmasTown	we_did_it	Surprises	1	Uncommon	Search 5, Behemoth, Clown OR If your Behemoth and Clown are at the same Locale, force one opponent to discard one of his own Halloween Characters from his hand or from play (opponent’s choice).
Weary Willy	ChristmasTown	weary_willy	Character	0	Common	When Willy is played, you may immediately Move 3 of your Christmas Characters.
We've got to find Jack!	ChristmasTown	weve_got_to_find_jack	Surprises	0	Promo Card	Move one of your Characters (except Sandy or Oogie) to any empty Locale in your Halloweentown. You may not play this Surprise if Jack is in your Halloweentown.
What a Night!	ChristmasTown	what_a_night	Surprises	0	Common	Search 3, Cyclops, Mr. Hyde OR If your Cyclops and Mr. Hyde are at the same Locale, discard them both from play, and then play a Character from your hand to the same Locale for free.
What Have I Done?	Premiere	what_have_i_done	Surprises	1	Uncommon	Search Discard Pile, 1 Character OR Stack this card on one of your Creations, and then, if an opponent’s Jack is in play, send that Jack to its owner’s hand.
What's This?	ChristmasTown	whats_this	Surprises	1	Ultra-Rare	Every player may immediately Draw 1 Card for every Active Locale in his or her Christmas Town. Players with Jack in their Christmas Town may then Add 1p
Wheel of Torture	Premiere	wheel_of_torture	Surprises	0	Ultra-Rare	If your Oogie in play has the Alias “Gamblin’ Boogie Man,” discard the top card from an opponent’s deck. Discard one of that opponent’s Characters from play if that Character has the same exact Scare Number as the card discarded.
Where is he?	ChristmasTown	where_is_he	Surprises	1	Common	Search 5, Jack, Mayor OR If an opponent’s Mayor is in play but not at the same Locale as Jack, return that Mayor to its owner’s hand.
Winged Demon	Premiere	winged_demon	Character	1	Rare	During your turn, you may discard 1 card from hand to move the Winged Demon to any other Locale in your Halloweentown.
Witch Hazel	ChristmasTown	witch_hazel	Surprises	0	Rare	Search 3, Big Witch, Little Witch OR If the Big Witch and Little Witch are at your Wtiches’ Nook, play 1 Character from your hand at half of his or her Cost (round down).
Witches' Nook	Premiere	witches_nook	Locale	1	Common	FUNCTION: Search 6, Surprises
Without a Trace	ChristmasTown	without_a_trace	Surprises	1	Common	Search 6, Clown OR Discard your Clown from play, and then discard an opponent’s Character with a Scare Number of 2 from play.
Wolf Shadow	ChristmasTown	wolf_shadow	Character	3	Rare	During your turn, you may discard the Wolf Shadow from your Graveyard to discard an opponent’s Character who is alone at a Halloweentown Locale.
Wolfman	Premiere	wolfman	Character	2	Uncommon	When the Wolfman is played, you may discard another Character at his Locale to Draw 2 Cards.
Worm's Wart	ChristmasTown	worms_wart	Surprises	0	Rare	Search 3, Sally OR If your Sally is in her Room, discard Deadly Nightshade and Frog’s Breath from your hand, and then Add 3p
Worthy Accomplice	ChristmasTown	worthy_accomplice	Surprises	1	Rare	Search 5, Finklestein, Igor OR Stack this card on your Igor, and then remove a Character in your Discard Pile from the game. Add a number of Pumpkin Points equal to the removed Character’s Scare Number (max of 3).
Wreath of Wrath	Premiere	wreath_of_wrath	Creations	5	Rare	When this Creation is played, every player must discard 1 Character from his Halloweentown.
Zero	Premiere	zero	Character	0	Uncommon	Whenever Jack leaves the same Locale as Zero, you may move Zero to Jack’s new Locale for free.
Zero - Pale Retriever	ChristmasTown	zero2	Character	0	Rare	While Jack and Zero are at the Dark Wood, whenever you fail a Main Deck Search using a Surprise, you may keep any one of the searched cards.
Zero's Doghouse	ChristmasTown	zeros_doghouse	Locale	2	Promo Card	FUNCTION: Draw 2 Cards, Add 1p and Move 1 Card. If Zero is here, Zero’s Doghouse is considered Active.
Pumpkin King	PlayerAids	pumpkin_king				
Pumpkin Points	PlayerAids	pumpkin_points				
